Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,player,Tm,Salary
234.0,Brook Lopez,37.0,LAC,C,47.0,12.0,874.0,111.0,288.0,0.385,69.0,198.0,0.348,42.0,90.0,0.467,0.505,29.0,34.0,0.853,16.0,108.0,124.0,46.0,25.0,50.0,38.0,81.0,320.0,0.0,,lopezbr01,Brook Lopez,LAC,"$8,750,000 "
235.0,Isaiah Hartenstein,27.0,OKC,C,30.0,29.0,772.0,134.0,211.0,0.635,0.0,5.0,0.0,134.0,206.0,0.65,0.635,50.0,77.0,0.649,98.0,192.0,290.0,107.0,31.0,20.0,63.0,81.0,318.0,1.0,,harteis01,Isaiah Hartenstein,OKC,"$28,500,000 "
237.0,Jaden Ivey,23.0,2TM,SG,37.0,5.0,670.0,114.0,256.0,0.445,50.0,134.0,0.373,64.0,122.0,0.525,0.543,38.0,47.0,0.809,24.0,67.0,91.0,68.0,23.0,14.0,41.0,53.0,316.0,0.0,,iveyja01,Jaden Ivey,CHI,"$10,107,163 "
237.0,Jaden Ivey,23.0,DET,SG,33.0,2.0,555.0,99.0,220.0,0.45,42.0,113.0,0.372,57.0,107.0,0.533,0.545,30.0,38.0,0.789,19.0,53.0,72.0,52.0,15.0,12.0,35.0,44.0,270.0,0.0,,iveyja01,Jaden Ivey,CHI,"$10,107,163 "
237.0,Jaden Ivey,23.0,CHI,SG,4.0,3.0,115.0,15.0,36.0,0.417,8.0,21.0,0.381,7.0,15.0,0.467,0.528,8.0,9.0,0.889,5.0,14.0,19.0,16.0,8.0,2.0,6.0,9.0,46.0,0.0,,iveyja01,Jaden Ivey,CHI,"$10,107,163 "
238.0,Will Riley,19.0,WAS,SF,45.0,2.0,747.0,113.0,274.0,0.412,36.0,110.0,0.327,77.0,164.0,0.47,0.478,51.0,66.0,0.773,36.0,65.0,101.0,64.0,27.0,5.0,40.0,39.0,313.0,0.0,,rileywi01,Will Riley,WAS,"$3,512,520 "
239.0,Jaxson Hayes,25.0,LAL,C,45.0,7.0,796.0,129.0,167.0,0.772,2.0,2.0,1.0,127.0,165.0,0.77,0.778,50.0,78.0,0.641,65.0,110.0,175.0,43.0,19.0,28.0,24.0,91.0,310.0,0.0,,hayesja02,Jaxson Hayes,LAL,"$3,449,323 "
240.0,Sion James,23.0,CHO,SG,55.0,18.0,1316.0,95.0,251.0,0.378,54.0,148.0,0.365,41.0,103.0,0.398,0.486,65.0,76.0,0.855,31.0,158.0,189.0,107.0,30.0,17.0,50.0,100.0,309.0,0.0,,jamessi01,Sion James,CHO,"$2,296,274 "
241.0,Daniel Gafford,27.0,DAL,C,38.0,28.0,814.0,117.0,185.0,0.632,0.0,0.0,,117.0,185.0,0.632,0.632,71.0,94.0,0.755,81.0,166.0,247.0,35.0,29.0,51.0,50.0,100.0,305.0,0.0,,gaffoda01,Daniel Gafford,DAL,"$14,386,320 "
242.0,Oso Ighodaro,23.0,PHO,PF,55.0,7.0,1102.0,135.0,214.0,0.631,0.0,1.0,0.0,135.0,213.0,0.634,0.631,35.0,71.0,0.493,84.0,166.0,250.0,99.0,51.0,33.0,68.0,139.0,305.0,0.0,,ighodos01,Oso Ighodaro,PHO,"$1,955,377 "
244.0,Domantas Sabonis,29.0,SAC,C,19.0,15.0,564.0,120.0,221.0,0.543,5.0,27.0,0.185,115.0,194.0,0.593,0.554,56.0,77.0,0.727,64.0,152.0,216.0,78.0,18.0,4.0,51.0,66.0,301.0,0.0,,sabondo01,Domantas Sabonis,SAC,"$42,336,000 "
245.0,GG Jackson II,21.0,MEM,PF,33.0,8.0,616.0,110.0,228.0,0.482,33.0,101.0,0.327,77.0,127.0,0.606,0.555,43.0,58.0,0.741,19.0,100.0,119.0,40.0,22.0,21.0,33.0,53.0,296.0,0.0,,jacksgg01,GG Jackson II,MEM,"$2,221,677 "
246.0,Herbert Jones,27.0,NOP,SF,33.0,33.0,949.0,109.0,278.0,0.392,44.0,144.0,0.306,65.0,134.0,0.485,0.471,31.0,40.0,0.775,30.0,88.0,118.0,87.0,53.0,16.0,44.0,105.0,293.0,0.0,,joneshe01,Herbert Jones,NOP,"$13,937,574 "
247.0,Vince Williams Jr.,25.0,2TM,PG,38.0,12.0,789.0,101.0,281.0,0.359,53.0,169.0,0.314,48.0,112.0,0.429,0.454,37.0,46.0,0.804,38.0,111.0,149.0,161.0,28.0,16.0,67.0,76.0,292.0,0.0,,willivi01,Vince Williams Jr.,UTA,"$2,301,587 "
247.0,Vince Williams Jr.,25.0,MEM,PG,34.0,12.0,736.0,93.0,264.0,0.352,49.0,159.0,0.308,44.0,105.0,0.419,0.445,37.0,46.0,0.804,34.0,102.0,136.0,150.0,27.0,14.0,63.0,71.0,272.0,0.0,,willivi01,Vince Williams Jr.,UTA,"$2,301,587 "
247.0,Vince Williams Jr.,25.0,UTA,SG,4.0,0.0,53.0,8.0,17.0,0.471,4.0,10.0,0.4,4.0,7.0,0.571,0.588,0.0,0.0,,4.0,9.0,13.0,11.0,1.0,2.0,4.0,5.0,20.0,0.0,,willivi01,Vince Williams Jr.,UTA,"$2,301,587 "
249.0,Ryan Dunn,23.0,PHO,SF,48.0,11.0,934.0,115.0,261.0,0.441,39.0,120.0,0.325,76.0,141.0,0.539,0.515,20.0,34.0,0.588,69.0,127.0,196.0,74.0,42.0,20.0,45.0,102.0,289.0,0.0,,dunnry01,Ryan Dunn,PHO,"$2,657,760 "
251.0,Landry Shamet,28.0,NYK,SG,30.0,9.0,658.0,94.0,211.0,0.445,65.0,154.0,0.422,29.0,57.0,0.509,0.6,34.0,47.0,0.723,15.0,42.0,57.0,46.0,15.0,6.0,13.0,42.0,287.0,0.0,,shamela01,Landry Shamet,NYK,"$2,296,274 "
252.0,Ben Sheppard,24.0,IND,SG,44.0,14.0,939.0,101.0,252.0,0.401,55.0,159.0,0.346,46.0,93.0,0.495,0.51,27.0,35.0,0.771,25.0,112.0,137.0,80.0,22.0,4.0,25.0,76.0,284.0,0.0,,sheppbe01,Ben Sheppard,IND,"$2,790,720 "
253.0,Jared McCain,21.0,2TM,SG,41.0,1.0,694.0,102.0,260.0,0.392,51.0,133.0,0.383,51.0,127.0,0.402,0.49,27.0,31.0,0.871,10.0,77.0,87.0,66.0,24.0,2.0,36.0,48.0,282.0,0.0,,mccaija01,Jared McCain,OKC,"$4,221,360 "
253.0,Jared McCain,21.0,PHI,SG,37.0,1.0,620.0,89.0,231.0,0.385,45.0,119.0,0.378,44.0,112.0,0.393,0.483,22.0,25.0,0.88,6.0,69.0,75.0,62.0,22.0,2.0,30.0,43.0,245.0,0.0,,mccaija01,Jared McCain,OKC,"$4,221,360 "
